CAPITAL,"$ 8,175,926.25",plazo,24,TNA,53.90%,,,T.E.M.,4.49%,78.83%,,CAPITAL,"$ 8,175,926.25",plazo,36,TNA,53.90%,,,T.E.M.,4.49%,,CAPITAL,"$ 8,175,926.25",plazo,48,TNA,53.90%,,,T.E.M.,4.49%
CUOTA,CAPITAL,INTERES,IVA,CAPITAL,CUOTA (1),,AMORTIZACION,CAPITAL,SALDO,59.56%,,CUOTA,CAPITAL,INTERES,IVA,CAPITAL,CUOTA (1),,AMORTIZACION,CAPITAL,SALDO,,CUOTA,CAPITAL,INTERES,IVA,CAPITAL,CUOTA (1),,AMORTIZACION,CAPITAL,SALDO
,,,,,SIN IVA,CON IVA,PERIODO,ACUMULADO,DEUDA,4.96%,,,,,,,SIN IVA,CON IVA,PERIODO,ACUMULADO,DEUDA,,,,,,,SIN IVA,CON IVA,PERIODO,ACUMULADO,DEUDA
,,IVA,10.5%,,Promedio,"$ 586,968.40",,,,"-$ 8,175,926.25",,,,IVA,10.5%,,,"$ 474,637.44",,,,,,,IVA,10.5%,,," $  2,207,531.55 ",,,
40,"-$ 11,705,844.47","-$ 525,787.51","-$ 55,207.69","-$ 12,231,631.99","$ 563,563.87","$ 508,356.19","$ 1,089,351.39","$ 20,971,122.11","-$ 12,795,195.86","$508,356.19",,40,"-$ 1,450,097.57","-$ 65,133.55","-$ 6,839.02","-$ 1,515,231.12","$ 462,290.42","$ 455,451.40","$ 527,423.97","$ 10,153,447.79","-$ 1,977,521.54",,40,"$ 3,039,200.76","$ 136,510.77","$ 14,333.63","$ 3,175,711.53","$ 417,959.49","$ 432,293.12","$ 281,448.73","$ 5,418,174.21","$ 2,757,752.04"
41,"-$ 12,795,195.86","-$ 574,717.55","-$ 60,345.34","-$ 13,369,913.41","$ 563,563.87","$ 503,218.53","$ 1,138,281.42","$ 22,109,403.53","-$ 13,933,477.28","$503,218.53",,41,"-$ 1,977,521.54","-$ 88,823.68","-$ 9,326.49","-$ 2,066,345.21","$ 462,290.42","$ 452,963.93","$ 551,114.10","$ 10,704,561.88","-$ 2,528,635.63",,41,"$ 2,757,752.04","$ 123,869.03","$ 13,006.25","$ 2,881,621.06","$ 417,959.49","$ 430,965.74","$ 294,090.46","$ 5,712,264.68","$ 2,463,661.57"
42,"-$ 13,933,477.28","-$ 625,845.35","-$ 65,713.76","-$ 14,559,322.64","$ 563,563.87","$ 497,850.11","$ 1,189,409.23","$ 23,298,812.76","-$ 15,122,886.51","$497,850.11",,42,"-$ 2,528,635.63","-$ 113,577.88","-$ 11,925.68","-$ 2,642,213.51","$ 462,290.42","$ 450,364.74","$ 575,868.30","$ 11,280,430.18","-$ 3,104,503.93",,42,"$ 2,463,661.57","$ 110,659.47","$ 11,619.24","$ 2,574,321.04","$ 417,959.49","$ 429,578.74","$ 307,300.03","$ 6,019,564.71","$ 2,156,361.54"
43,"-$ 15,122,886.51","-$ 679,269.65","-$ 71,323.31","-$ 15,802,156.17","$ 563,563.87","$ 492,240.56","$ 1,242,833.53","$ 24,541,646.29","-$ 16,365,720.04","$492,240.56",,43,"-$ 3,104,503.93","-$ 139,443.97","-$ 14,641.62","-$ 3,243,947.90","$ 462,290.42","$ 447,648.80","$ 601,734.39","$ 11,882,164.57","-$ 3,706,238.32",,43,"$ 2,156,361.54","$ 96,856.57","$ 10,169.94","$ 2,253,218.11","$ 417,959.49","$ 428,129.43","$ 321,102.92","$ 6,340,667.63","$ 1,835,258.62"
44,"-$ 16,365,720.04","-$ 735,093.59","-$ 77,184.83","-$ 17,100,813.63","$ 563,563.87","$ 486,379.05","$ 1,298,657.47","$ 25,840,303.76","-$ 17,664,377.51","$486,379.05",,44,"-$ 3,706,238.32","-$ 166,471.87","-$ 17,479.55","-$ 3,872,710.19","$ 462,290.42","$ 444,810.87","$ 628,762.29","$ 12,510,926.86","-$ 4,335,000.61",,44,"$ 1,835,258.62","$ 82,433.70","$ 8,655.54","$ 1,917,692.32","$ 417,959.49","$ 426,615.03","$ 335,525.79","$ 6,676,193.42","$ 1,499,732.83"
45,"-$ 17,664,377.51","-$ 793,424.96","-$ 83,309.62","-$ 18,457,802.46","$ 563,563.87","$ 480,254.25","$ 1,356,988.83","$ 27,197,292.59","-$ 19,021,366.34","$480,254.25",,45,"-$ 4,335,000.61","-$ 194,713.78","-$ 20,444.95","-$ 4,529,714.39","$ 462,290.42","$ 441,845.47","$ 657,004.20","$ 13,167,931.06","-$ 4,992,004.81",,45,"$ 1,499,732.83","$ 67,363.00","$ 7,073.11","$ 1,567,095.83","$ 417,959.49","$ 425,032.61","$ 350,596.49","$ 7,026,789.92","$ 1,149,136.33"
46,"-$ 19,021,366.34","-$ 854,376.37","-$ 89,709.52","-$ 19,875,742.71","$ 563,563.87","$ 473,854.36","$ 1,417,940.25","$ 28,615,232.83","-$ 20,439,306.58","$473,854.36",,46,"-$ 4,992,004.81","-$ 224,224.22","-$ 23,543.54","-$ 5,216,229.03","$ 462,290.42","$ 438,746.88","$ 686,514.64","$ 13,854,445.70","-$ 5,678,519.45",,46,"$ 1,149,136.33","$ 51,615.37","$ 5,419.61","$ 1,200,751.71","$ 417,959.49","$ 423,379.11","$ 366,344.12","$ 7,393,134.04","$ 782,792.21"
47,"-$ 20,439,306.58","-$ 918,065.52","-$ 96,396.88","-$ 21,357,372.10","$ 563,563.87","$ 467,167.00","$ 1,481,629.40","$ 30,096,862.23","-$ 21,920,935.98","$467,167.00",,47,"-$ 5,678,519.45","-$ 255,060.17","-$ 26,781.32","-$ 5,933,579.61","$ 462,290.42","$ 435,509.10","$ 717,350.58","$ 14,571,796.28","-$ 6,395,870.03",,47,"$ 782,792.21","$ 35,160.42","$ 3,691.84","$ 817,952.63","$ 417,959.49","$ 421,651.34","$ 382,799.08","$ 7,775,933.11","$ 399,993.14"
48,"-$ 21,920,935.98","-$ 984,615.37","-$ 103,384.61","-$ 22,905,551.35","$ 563,563.87","$ 460,179.26","$ 1,548,179.25","$ 31,645,041.48","-$ 23,469,115.23","$460,179.26",,48,"-$ 6,395,870.03","-$ 287,281.16","-$ 30,164.52","-$ 6,683,151.19","$ 462,290.42","$ 432,125.90","$ 749,571.58","$ 15,321,367.86","-$ 7,145,441.61",,48,"$ 399,993.14","$ 17,966.36","$ 1,886.47","$ 417,959.49","$ 417,959.49","$ 419,845.96","$ 399,993.14","$ 8,175,926.25",$ 0.00
49,"-$ 23,469,115.23","-$ 1,054,154.43","-$ 110,686.21","-$ 24,523,269.65","$ 563,563.87","$ 452,877.66","$ 1,617,718.30","$ 33,262,759.78","-$ 25,086,833.53","$452,877.66",,49,"-$ 7,145,441.61","-$ 320,949.42","-$ 33,699.69","-$ 7,466,391.03","$ 462,290.42","$ 428,590.73","$ 783,239.84","$ 16,104,607.70","-$ 7,928,681.45",,49,$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 417,959.49","$ 417,959.49","$ 417,959.49","$ 8,593,885.74","-$ 417,959.49"
50,"-$ 25,086,833.53","-$ 1,126,816.94","-$ 118,315.78","-$ 26,213,650.47","$ 563,563.87","$ 445,248.10","$ 1,690,380.81","$ 34,953,140.59","-$ 26,777,214.34","$445,248.10",,50,"-$ 7,928,681.45","-$ 356,129.94","-$ 37,393.64","-$ 8,284,811.39","$ 462,290.42","$ 424,896.78","$ 818,420.36","$ 16,923,028.06","-$ 8,747,101.81",,50,"-$ 417,959.49","-$ 18,773.35","-$ 1,971.20","-$ 436,732.84","$ 417,959.49","$ 415,988.29","$ 436,732.84","$ 9,030,618.58","-$ 854,692.33"
51,"-$ 26,777,214.34","-$ 1,202,743.21","-$ 126,288.04","-$ 27,979,957.56","$ 563,563.87","$ 437,275.84","$ 1,766,307.09","$ 36,719,447.68","-$ 28,543,521.43","$437,275.84",,51,"-$ 8,747,101.81","-$ 392,890.66","-$ 41,253.52","-$ 9,139,992.47","$ 462,290.42","$ 421,036.90","$ 855,181.08","$ 17,778,209.14","-$ 9,602,282.89",,51,"-$ 854,692.33","-$ 38,389.93","-$ 4,030.94","-$ 893,082.27","$ 417,959.49","$ 413,928.55","$ 456,349.42","$ 9,486,968.01","-$ 1,311,041.76"
52,"-$ 28,543,521.43","-$ 1,282,079.84","-$ 134,618.38","-$ 29,825,601.27","$ 563,563.87","$ 428,945.49","$ 1,845,643.71","$ 38,565,091.39","-$ 30,389,165.14","$428,945.49",,52,"-$ 9,602,282.89","-$ 431,302.54","-$ 45,286.77","-$ 10,033,585.43","$ 462,290.42","$ 417,003.65","$ 893,592.96","$ 18,671,802.10","-$ 10,495,875.85",,52,"-$ 1,311,041.76","-$ 58,887.63","-$ 6,183.20","-$ 1,369,929.39","$ 417,959.49","$ 411,776.29","$ 476,847.12","$ 9,963,815.13","-$ 1,787,888.88"
53,"-$ 30,389,165.14","-$ 1,364,980.00","-$ 143,322.90","-$ 31,754,145.14","$ 563,563.87","$ 420,240.97","$ 1,928,543.88","$ 40,493,635.27","-$ 32,317,709.02","$420,240.97",,53,"-$ 10,495,875.85","-$ 471,439.76","-$ 49,501.17","-$ 10,967,315.60","$ 462,290.42","$ 412,789.25","$ 933,730.18","$ 19,605,532.27","-$ 11,429,606.02",,53,"-$ 1,787,888.88","-$ 80,306.01","-$ 8,432.13","-$ 1,868,194.89","$ 417,959.49","$ 409,527.36","$ 498,265.50","$ 10,462,080.63","-$ 2,286,154.38"
54,"-$ 32,317,709.02","-$ 1,451,603.76","-$ 152,418.40","-$ 33,769,312.78","$ 563,563.87","$ 411,145.48","$ 2,015,167.64","$ 42,508,802.91","-$ 34,332,876.66","$411,145.48",,54,"-$ 11,429,606.02","-$ 513,379.80","-$ 53,904.88","-$ 11,942,985.83","$ 462,290.42","$ 408,385.54","$ 975,670.22","$ 20,581,202.50","-$ 12,405,276.25",,54,"-$ 2,286,154.38","-$ 102,686.43","-$ 10,782.08","-$ 2,388,840.82","$ 417,959.49","$ 407,177.42","$ 520,645.93","$ 10,982,726.56","-$ 2,806,800.31"
55,"-$ 34,332,876.66","-$ 1,542,118.38","-$ 161,922.43","-$ 35,874,995.03","$ 563,563.87","$ 401,641.45","$ 2,105,682.25","$ 44,614,485.16","-$ 36,438,558.91","$401,641.45",,55,"-$ 12,405,276.25","-$ 557,203.66","-$ 58,506.38","-$ 12,962,479.90","$ 462,290.42","$ 403,784.04","$ 1,019,494.08","$ 21,600,696.57","-$ 13,424,770.32",,55,"-$ 2,806,800.31","-$ 126,072.11","-$ 13,237.57","-$ 2,932,872.42","$ 417,959.49","$ 404,721.92","$ 544,031.61","$ 11,526,758.17","-$ 3,350,831.92"
56,"-$ 36,438,558.91","-$ 1,636,698.60","-$ 171,853.35","-$ 38,075,257.51","$ 563,563.87","$ 391,710.52","$ 2,200,262.48","$ 46,814,747.64","-$ 38,638,821.39","$391,710.52",,56,"-$ 13,424,770.32","-$ 602,995.93","-$ 63,314.57","-$ 14,027,766.26","$ 462,290.42","$ 398,975.85","$ 1,065,286.35","$ 22,665,982.93","-$ 14,490,056.68",,56,"-$ 3,350,831.92","-$ 150,508.20","-$ 15,803.36","-$ 3,501,340.12","$ 417,959.49","$ 402,156.13","$ 568,467.69","$ 12,095,225.86","-$ 3,919,299.61"
57,"-$ 38,638,821.39","-$ 1,735,527.06","-$ 182,230.34","-$ 40,374,348.45","$ 563,563.87","$ 381,333.53","$ 2,299,090.94","$ 49,113,838.57","-$ 40,937,912.32","$381,333.53",,57,"-$ 14,490,056.68","-$ 650,845.05","-$ 68,338.73","-$ 15,140,901.72","$ 462,290.42","$ 393,951.69","$ 1,113,135.47","$ 23,779,118.39","-$ 15,603,192.14",,57,"-$ 3,919,299.61","-$ 176,041.87","-$ 18,484.40","-$ 4,095,341.49","$ 417,959.49","$ 399,475.10","$ 594,001.37","$ 12,689,227.23","-$ 4,513,300.98"
58,"-$ 40,937,912.32","-$ 1,838,794.56","-$ 193,073.43","-$ 42,776,706.88","$ 563,563.87","$ 370,490.45","$ 2,402,358.44","$ 51,516,197.01","-$ 43,340,270.76","$370,490.45",,58,"-$ 15,603,192.14","-$ 700,843.38","-$ 73,588.55","-$ 16,304,035.52","$ 462,290.42","$ 388,701.86","$ 1,163,133.80","$ 24,942,252.19","-$ 16,766,325.94",,58,"-$ 4,513,300.98","-$ 202,722.44","-$ 21,285.86","-$ 4,716,023.42","$ 417,959.49","$ 396,673.64","$ 620,681.93","$ 13,309,909.16","-$ 5,133,982.91"
59,"-$ 43,340,270.76","-$ 1,946,700.49","-$ 204,403.55","-$ 45,286,971.25","$ 563,563.87","$ 359,160.32","$ 2,510,264.37","$ 54,026,461.38","-$ 45,850,535.13","$359,160.32",,59,"-$ 16,766,325.94","-$ 753,087.47","-$ 79,074.18","-$ 17,519,413.42","$ 462,290.42","$ 383,216.23","$ 1,215,377.89","$ 26,157,630.08","-$ 17,981,703.83",,59,"-$ 5,133,982.91","-$ 230,601.40","-$ 24,213.15","-$ 5,364,584.31","$ 417,959.49","$ 393,746.35","$ 648,560.89","$ 13,958,470.05","-$ 5,782,543.80"
60,"-$ 45,850,535.13","-$ 2,059,453.20","-$ 216,242.59","-$ 47,909,988.33","$ 563,563.87","$ 347,321.29","$ 2,623,017.08","$ 56,649,478.46","-$ 48,473,552.21","$347,321.29",,60,"-$ 17,981,703.83","-$ 807,678.20","-$ 84,806.21","-$ 18,789,382.03","$ 462,290.42","$ 377,484.21","$ 1,269,968.62","$ 27,427,598.70","-$ 19,251,672.45",,60,"-$ 5,782,543.80","-$ 259,732.59","-$ 27,271.92","-$ 6,042,276.39","$ 417,959.49","$ 390,687.57","$ 677,692.09","$ 14,636,162.14","-$ 6,460,235.89"
61,"-$ 48,473,552.21","-$ 2,177,270.39","-$ 228,613.39","-$ 50,650,822.59","$ 563,563.87","$ 334,950.48","$ 2,740,834.26","$ 59,390,312.72","-$ 51,214,386.47","$334,950.48",,61,"-$ 19,251,672.45","-$ 864,720.95","-$ 90,795.70","-$ 20,116,393.41","$ 462,290.42","$ 371,494.72","$ 1,327,011.37","$ 28,754,610.08","-$ 20,578,683.83",,61,"-$ 6,460,235.89","-$ 290,172.26","-$ 30,468.09","-$ 6,750,408.15","$ 417,959.49","$ 387,491.41","$ 708,131.76","$ 15,344,293.89","-$ 7,168,367.64"
62,"-$ 51,214,386.47","-$ 2,300,379.53","-$ 241,539.85","-$ 53,514,765.99","$ 563,563.87","$ 322,024.02","$ 2,863,943.40","$ 62,254,256.12","-$ 54,078,329.87","$322,024.02",,62,"-$ 20,578,683.83","-$ 924,325.88","-$ 97,054.22","-$ 21,503,009.71","$ 462,290.42","$ 365,236.20","$ 1,386,616.30","$ 30,141,226.38","-$ 21,965,300.13",,62,"-$ 7,168,367.64","-$ 321,979.18","-$ 33,807.81","-$ 7,490,346.82","$ 417,959.49","$ 384,151.68","$ 739,938.67","$ 16,084,232.57","-$ 7,908,306.32"
63,"-$ 54,078,329.87","-$ 2,429,018.32","-$ 255,046.92","-$ 56,507,348.19","$ 563,563.87","$ 308,516.95","$ 2,992,582.19","$ 65,246,838.31","-$ 57,070,912.06","$308,516.95",,63,"-$ 21,965,300.13","-$ 986,608.06","-$ 103,593.85","-$ 22,951,908.19","$ 462,290.42","$ 358,696.57","$ 1,448,898.48","$ 31,590,124.86","-$ 23,414,198.61",,63,"-$ 7,908,306.32","-$ 355,214.76","-$ 37,297.55","-$ 8,263,521.08","$ 417,959.49","$ 380,661.94","$ 773,174.25","$ 16,857,406.82","-$ 8,681,480.57"
64,"-$ 57,070,912.06","-$ 2,563,435.13","-$ 269,160.69","-$ 59,634,347.19","$ 563,563.87","$ 294,403.19","$ 3,126,999.01","$ 68,373,837.32","-$ 60,197,911.07","$294,403.19",,64,"-$ 23,414,198.61","-$ 1,051,687.75","-$ 110,427.21","-$ 24,465,886.36","$ 462,290.42","$ 351,863.21","$ 1,513,978.17","$ 33,104,103.03","-$ 24,928,176.78",,64,"-$ 8,681,480.57","-$ 389,943.17","-$ 40,944.03","-$ 9,071,423.74","$ 417,959.49","$ 377,015.46","$ 807,902.66","$ 17,665,309.48","-$ 9,489,383.23"
65,"-$ 60,197,911.07","-$ 2,703,889.51","-$ 283,908.40","-$ 62,901,800.57","$ 563,563.87","$ 279,655.48","$ 3,267,453.38","$ 71,641,290.70","-$ 63,465,364.45","$279,655.48",,65,"-$ 24,928,176.78","-$ 1,119,690.61","-$ 117,567.51","-$ 26,047,867.39","$ 462,290.42","$ 344,722.91","$ 1,581,981.03","$ 34,686,084.06","-$ 26,510,157.81",,65,"-$ 9,489,383.23","-$ 426,231.46","-$ 44,754.30","-$ 9,915,614.70","$ 417,959.49","$ 373,205.19","$ 844,190.96","$ 18,509,500.44","-$ 10,333,574.19"
66,"-$ 63,465,364.45","-$ 2,850,652.62","-$ 299,318.53","-$ 66,316,017.07","$ 563,563.87","$ 264,245.35","$ 3,414,216.49","$ 75,055,507.19","-$ 66,879,580.94","$264,245.35",,66,"-$ 26,510,157.81","-$ 1,190,747.92","-$ 125,028.53","-$ 27,700,905.73","$ 462,290.42","$ 337,261.89","$ 1,653,038.34","$ 36,339,122.40","-$ 28,163,196.15",,66,"-$ 10,333,574.19","-$ 464,149.71","-$ 48,735.72","-$ 10,797,723.90","$ 417,959.49","$ 369,223.77","$ 882,109.20","$ 19,391,609.64","-$ 11,215,683.39"
67,"-$ 66,879,580.94","-$ 3,004,007.84","-$ 315,420.82","-$ 69,883,588.79","$ 563,563.87","$ 248,143.05","$ 3,567,571.72","$ 78,623,078.91","-$ 70,447,152.66","$248,143.05",,67,"-$ 28,163,196.15","-$ 1,264,996.89","-$ 132,824.67","-$ 29,428,193.05","$ 462,290.42","$ 329,465.75","$ 1,727,287.31","$ 38,066,409.72","-$ 29,890,483.47",,67,"-$ 11,215,683.39","-$ 503,771.11","-$ 52,895.97","-$ 11,719,454.50","$ 417,959.49","$ 365,063.53","$ 921,730.61","$ 20,313,340.25","-$ 12,137,414.00"
68,"-$ 70,447,152.66","-$ 3,164,251.27","-$ 332,246.38","-$ 73,611,403.94","$ 563,563.87","$ 231,317.49","$ 3,727,815.15","$ 82,350,894.06","-$ 74,174,967.81","$231,317.49",,68,"-$ 29,890,483.47","-$ 1,342,580.88","-$ 140,970.99","-$ 31,233,064.35","$ 462,290.42","$ 321,319.43","$ 1,804,871.30","$ 39,871,281.02","-$ 31,695,354.77",,68,"-$ 12,137,414.00","-$ 545,172.18","-$ 57,243.08","-$ 12,682,586.18","$ 417,959.49","$ 360,716.42","$ 963,131.67","$ 21,276,471.92","-$ 13,100,545.67"
69,"-$ 74,174,967.81","-$ 3,331,692.30","-$ 349,827.69","-$ 77,506,660.12","$ 563,563.87","$ 213,736.18","$ 3,895,256.18","$ 86,246,150.24","-$ 78,070,223.99","$213,736.18",,69,"-$ 31,695,354.77","-$ 1,423,649.68","-$ 149,483.22","-$ 33,119,004.45","$ 462,290.42","$ 312,807.20","$ 1,885,940.10","$ 41,757,221.12","-$ 33,581,294.87",,69,"-$ 13,100,545.67","-$ 588,432.84","-$ 61,785.45","-$ 13,688,978.51","$ 417,959.49","$ 356,174.05","$ 1,006,392.34","$ 22,282,864.26","-$ 14,106,938.01"
70,"-$ 78,070,223.99","-$ 3,506,654.23","-$ 368,198.69","-$ 81,576,878.22","$ 563,563.87","$ 195,365.18","$ 4,070,218.10","$ 90,316,368.34","-$ 82,140,442.09","$195,365.18",,70,"-$ 33,581,294.87","-$ 1,508,359.83","-$ 158,377.78","-$ 35,089,654.70","$ 462,290.42","$ 303,912.64","$ 1,970,650.25","$ 43,727,871.37","-$ 35,551,945.12",,70,"-$ 14,106,938.01","-$ 633,636.63","-$ 66,531.85","-$ 14,740,574.64","$ 417,959.49","$ 351,427.65","$ 1,051,596.13","$ 23,334,460.38","-$ 15,158,534.13"
71,"-$ 82,140,442.09","-$ 3,689,474.86","-$ 387,394.86","-$ 85,829,916.95","$ 563,563.87","$ 176,169.01","$ 4,253,038.73","$ 94,569,407.08","-$ 86,393,480.83","$176,169.01",,71,"-$ 35,551,945.12","-$ 1,596,874.87","-$ 167,671.86","-$ 37,148,819.99","$ 462,290.42","$ 294,618.56","$ 2,059,165.29","$ 45,787,036.66","-$ 37,611,110.41",,71,"-$ 15,158,534.13","-$ 680,870.82","-$ 71,491.44","-$ 15,839,404.96","$ 417,959.49","$ 346,468.06","$ 1,098,830.32","$ 24,433,290.70","-$ 16,257,364.45"
72,"-$ 86,393,480.83","-$ 3,880,507.18","-$ 407,453.25","-$ 90,273,988.01","$ 563,563.87","$ 156,110.62","$ 4,444,071.06","$ 99,013,478.13","-$ 90,837,551.88","$156,110.62",,72,"-$ 37,611,110.41","-$ 1,689,365.71","-$ 177,383.40","-$ 39,300,476.12","$ 462,290.42","$ 284,907.02","$ 2,151,656.13","$ 47,938,692.79","-$ 39,762,766.54",,72,"-$ 16,257,364.45","-$ 730,226.62","-$ 76,673.80","-$ 16,987,591.07","$ 417,959.49","$ 341,285.70","$ 1,148,186.11","$ 25,581,476.82","-$ 17,405,550.57"
73,"-$ 90,837,551.88","-$ 4,080,120.04","-$ 428,412.60","-$ 94,917,671.92","$ 563,563.87","$ 135,151.27","$ 4,643,683.91","$ 103,657,162.04","-$ 95,481,235.79","$135,151.27",,73,"-$ 39,762,766.54","-$ 1,786,010.93","-$ 187,531.15","-$ 41,548,777.47","$ 462,290.42","$ 274,759.27","$ 2,248,301.35","$ 50,186,994.14","-$ 42,011,067.89",,73,"-$ 17,405,550.57","-$ 781,799.31","-$ 82,088.93","-$ 18,187,349.88","$ 417,959.49","$ 335,870.57","$ 1,199,758.81","$ 26,781,235.62","-$ 18,605,309.37"
74,"-$ 95,481,235.79","-$ 4,288,698.84","-$ 450,313.38","-$ 99,769,934.64","$ 563,563.87","$ 113,250.50","$ 4,852,262.72","$ 108,509,424.76","-$ 100,333,498.51","$113,250.50",,74,"-$ 42,011,067.89","-$ 1,886,997.13","-$ 198,134.70","-$ 43,898,065.02","$ 462,290.42","$ 264,155.72","$ 2,349,287.55","$ 52,536,281.69","-$ 44,360,355.44",,74,"-$ 18,605,309.37","-$ 835,688.48","-$ 87,747.29","-$ 19,440,997.85","$ 417,959.49","$ 330,212.20","$ 1,253,647.97","$ 28,034,883.60","-$ 19,858,957.35"
75,"-$ 100,333,498.51","-$ 4,506,646.31","-$ 473,197.86","-$ 104,840,144.82","$ 563,563.87","$ 90,366.01","$ 5,070,210.18","$ 113,579,634.94","-$ 105,403,708.69","$90,366.01",,75,"-$ 44,360,355.44","-$ 1,992,519.30","-$ 209,214.53","-$ 46,352,874.74","$ 462,290.42","$ 253,075.89","$ 2,454,809.72","$ 54,991,091.41","-$ 46,815,165.16",,75,"-$ 19,858,957.35","-$ 891,998.17","-$ 93,659.81","-$ 20,750,955.51","$ 417,959.49","$ 324,299.69","$ 1,309,957.66","$ 29,344,841.26","-$ 21,168,915.01"
76,"-$ 105,403,708.69","-$ 4,734,383.25","-$ 497,110.24","-$ 110,138,091.94","$ 563,563.87","$ 66,453.63","$ 5,297,947.12","$ 118,877,582.07","-$ 110,701,655.82","$66,453.63",,76,"-$ 46,815,165.16","-$ 2,102,781.17","-$ 220,792.02","-$ 48,917,946.32","$ 462,290.42","$ 241,498.40","$ 2,565,071.59","$ 57,556,162.99","-$ 49,380,236.74",,76,"-$ 21,168,915.01","-$ 950,837.10","-$ 99,837.90","-$ 22,119,752.11","$ 417,959.49","$ 318,121.60","$ 1,368,796.59","$ 30,713,637.85","-$ 22,537,711.60"
77,"-$ 110,701,655.82","-$ 4,972,349.37","-$ 522,096.68","-$ 115,674,005.19","$ 563,563.87","$ 41,467.19","$ 5,535,913.25","$ 124,413,495.32","-$ 116,237,569.07","$41,467.19",,77,"-$ 49,380,236.74","-$ 2,217,995.63","-$ 232,889.54","-$ 51,598,232.38","$ 462,290.42","$ 229,400.88","$ 2,680,286.05","$ 60,236,449.05","-$ 52,060,522.80",,77,"-$ 22,537,711.60","-$ 1,012,318.88","-$ 106,293.48","-$ 23,550,030.48","$ 417,959.49","$ 311,666.01","$ 1,430,278.37","$ 32,143,916.22","-$ 23,967,989.97"
78,"-$ 116,237,569.07","-$ 5,221,004.14","-$ 548,205.44","-$ 121,458,573.21","$ 563,563.87","$ 15,358.44","$ 5,784,568.02","$ 130,198,063.33","-$ 122,022,137.08","$15,358.44",,78,"-$ 52,060,522.80","-$ 2,338,385.15","-$ 245,530.44","-$ 54,398,907.95","$ 462,290.42","$ 216,759.98","$ 2,800,675.57","$ 63,037,124.62","-$ 54,861,198.37",,78,"-$ 23,967,989.97","-$ 1,076,562.22","-$ 113,039.03","-$ 25,044,552.19","$ 417,959.49","$ 304,920.46","$ 1,494,521.71","$ 33,638,437.93","-$ 25,462,511.68"
79,"-$ 122,022,137.08","-$ 5,480,827.66","-$ 575,486.90","-$ 127,502,964.74","$ 563,563.87","-$ 11,923.03","$ 6,044,391.53","$ 136,242,454.87","-$ 128,066,528.62","-$11,923.03",,79,"-$ 54,861,198.37","-$ 2,464,182.16","-$ 258,739.13","-$ 57,325,380.53","$ 462,290.42","$ 203,551.29","$ 2,926,472.58","$ 65,963,597.19","-$ 57,787,670.94",,79,"-$ 25,462,511.68","-$ 1,143,691.15","-$ 120,087.57","-$ 26,606,202.83","$ 417,959.49","$ 297,871.92","$ 1,561,650.64","$ 35,200,088.58","-$ 27,024,162.33"
80,"-$ 128,066,528.62","-$ 5,752,321.58","-$ 603,993.77","-$ 133,818,850.19","$ 563,563.87","-$ 40,429.89","$ 6,315,885.45","$ 142,558,340.32","-$ 134,382,414.07","-$40,429.89",,80,"-$ 57,787,670.94","-$ 2,595,629.55","-$ 272,541.10","-$ 60,383,300.50","$ 462,290.42","$ 189,749.32","$ 3,057,919.97","$ 69,021,517.17","-$ 60,845,590.92",,80,"-$ 27,024,162.33","-$ 1,213,835.29","-$ 127,452.71","-$ 28,237,997.62","$ 417,959.49","$ 290,506.79","$ 1,631,794.79","$ 36,831,883.36","-$ 28,655,957.11"
81,"-$ 134,382,414.07","-$ 6,036,010.10","-$ 633,781.06","-$ 140,418,424.17","$ 563,563.87","-$ 70,217.19","$ 6,599,573.97","$ 149,157,914.29","-$ 140,981,988.04","-$70,217.19",,81,"-$ 60,845,590.92","-$ 2,732,981.13","-$ 286,963.02","-$ 63,578,572.04","$ 462,290.42","$ 175,327.40","$ 3,195,271.54","$ 72,216,788.71","-$ 64,040,862.46",,81,"-$ 28,655,957.11","-$ 1,287,130.07","-$ 135,148.66","-$ 29,943,087.19","$ 417,959.49","$ 282,810.84","$ 1,705,089.57","$ 38,536,972.93","-$ 30,361,046.68"
82,"-$ 140,981,988.04","-$ 6,332,440.96","-$ 664,906.30","-$ 147,314,429.01","$ 563,563.87","-$ 101,342.43","$ 6,896,004.84","$ 156,053,919.13","-$ 147,877,992.88","-$101,342.43",,82,"-$ 64,040,862.46","-$ 2,876,502.07","-$ 302,032.72","-$ 66,917,364.53","$ 462,290.42","$ 160,257.70","$ 3,338,792.49","$ 75,555,581.20","-$ 67,379,654.95",,82,"-$ 30,361,046.68","-$ 1,363,717.01","-$ 143,190.29","-$ 31,724,763.69","$ 417,959.49","$ 274,769.21","$ 1,781,676.51","$ 40,318,649.44","-$ 32,142,723.19"
