CAPITAL,"$ 8,175,926.25",plazo,24,TNA,53.90%,,,T.E.M.,4.49%,78.83%,,CAPITAL,"$ 8,175,926.25",plazo,36,TNA,53.90%,,,T.E.M.,4.49%,,CAPITAL,"$ 8,175,926.25",plazo,48,TNA,53.90%,,,T.E.M.,4.49%
CUOTA,CAPITAL,INTERES,IVA,CAPITAL,CUOTA (1),,AMORTIZACION,CAPITAL,SALDO,59.56%,,CUOTA,CAPITAL,INTERES,IVA,CAPITAL,CUOTA (1),,AMORTIZACION,CAPITAL,SALDO,,CUOTA,CAPITAL,INTERES,IVA,CAPITAL,CUOTA (1),,AMORTIZACION,CAPITAL,SALDO
,,,,,SIN IVA,CON IVA,PERIODO,ACUMULADO,DEUDA,4.96%,,,,,,,SIN IVA,CON IVA,PERIODO,ACUMULADO,DEUDA,,,,,,,SIN IVA,CON IVA,PERIODO,ACUMULADO,DEUDA
,,IVA,10.5%,,Promedio,"$ 586,968.40",,,,"-$ 8,175,926.25",,,,IVA,10.5%,,,"$ 474,637.44",,,,,,,IVA,10.5%,,," $  2,207,531.55 ",,,
10,"$ 6,055,888.98","$ 272,010.35","$ 28,561.09","$ 6,327,899.32","$ 563,563.87","$ 592,124.96","$ 291,553.53","$ 2,411,590.80","$ 5,764,335.45","$592,124.96",,10,"$ 7,149,482.00","$ 321,130.90","$ 33,718.74","$ 7,470,612.90","$ 462,290.42","$ 496,009.16","$ 141,159.52","$ 1,167,603.77","$ 7,008,322.48",,10,"$ 7,628,185.83","$ 342,632.68","$ 35,976.43","$ 7,970,818.51","$ 417,959.49","$ 453,935.93","$ 75,326.81","$ 623,067.24","$ 7,552,859.01"
11,"$ 5,764,335.45","$ 258,914.73","$ 27,186.05","$ 6,023,250.18","$ 563,563.87","$ 590,749.92","$ 304,649.14","$ 2,716,239.94","$ 5,459,686.31","$590,749.92",,11,"$ 7,008,322.48","$ 314,790.48","$ 33,053.00","$ 7,323,112.96","$ 462,290.42","$ 495,343.42","$ 147,499.93","$ 1,315,103.71","$ 6,860,822.54",,11,"$ 7,552,859.01","$ 339,249.25","$ 35,621.17","$ 7,892,108.26","$ 417,959.49","$ 453,580.67","$ 78,710.24","$ 701,777.48","$ 7,474,148.77"
12,"$ 5,459,686.31","$ 245,230.91","$ 25,749.25","$ 5,704,917.22","$ 563,563.87","$ 589,313.12","$ 318,332.96","$ 3,034,572.91","$ 5,141,353.34","$589,313.12",,12,"$ 6,860,822.54","$ 308,165.28","$ 32,357.35","$ 7,168,987.82","$ 462,290.42","$ 494,647.77","$ 154,125.14","$ 1,469,228.85","$ 6,706,697.40",,12,"$ 7,474,148.77","$ 335,713.85","$ 35,249.95","$ 7,809,862.62","$ 417,959.49","$ 453,209.45","$ 82,245.64","$ 784,023.12","$ 7,391,903.13"
13,"$ 5,141,353.34","$ 230,932.45","$ 24,247.91","$ 5,372,285.80","$ 563,563.87","$ 587,811.78","$ 332,631.42","$ 3,367,204.33","$ 4,808,721.92","$587,811.78",,13,"$ 6,706,697.40","$ 301,242.49","$ 31,630.46","$ 7,007,939.89","$ 462,290.42","$ 493,920.88","$ 161,047.93","$ 1,630,276.78","$ 6,545,649.47",,13,"$ 7,391,903.13","$ 332,019.65","$ 34,862.06","$ 7,723,922.77","$ 417,959.49","$ 452,821.56","$ 85,939.85","$ 869,962.97","$ 7,305,963.28"
14,"$ 4,808,721.92","$ 215,991.76","$ 22,679.13","$ 5,024,713.68","$ 563,563.87","$ 586,243.01","$ 347,572.12","$ 3,714,776.44","$ 4,461,149.81","$586,243.01",,14,"$ 6,545,649.47","$ 294,008.76","$ 30,870.92","$ 6,839,658.23","$ 462,290.42","$ 493,161.34","$ 168,281.66","$ 1,798,558.44","$ 6,377,367.81",,14,"$ 7,305,963.28","$ 328,159.52","$ 34,456.75","$ 7,634,122.80","$ 417,959.49","$ 452,416.24","$ 89,799.98","$ 959,762.95","$ 7,216,163.30"
15,"$ 4,461,149.81","$ 200,379.98","$ 21,039.90","$ 4,661,529.79","$ 563,563.87","$ 584,603.77","$ 363,183.90","$ 4,077,960.34","$ 4,097,965.91","$584,603.77",,15,"$ 6,377,367.81","$ 286,450.10","$ 30,077.26","$ 6,663,817.92","$ 462,290.42","$ 492,367.68","$ 175,840.32","$ 1,974,398.75","$ 6,201,527.50",,15,"$ 7,216,163.30","$ 324,126.00","$ 34,033.23","$ 7,540,289.31","$ 417,959.49","$ 451,992.72","$ 93,833.49","$ 1,053,596.44","$ 7,122,329.81"
16,"$ 4,097,965.91","$ 184,066.97","$ 19,327.03","$ 4,282,032.88","$ 563,563.87","$ 582,890.91","$ 379,496.91","$ 4,457,457.24","$ 3,718,469.01","$582,890.91",,16,"$ 6,201,527.50","$ 278,551.94","$ 29,247.95","$ 6,480,079.44","$ 462,290.42","$ 491,538.37","$ 183,738.48","$ 2,158,137.23","$ 6,017,789.02",,16,"$ 7,122,329.81","$ 319,911.31","$ 33,590.69","$ 7,442,241.13","$ 417,959.49","$ 451,550.18","$ 98,048.18","$ 1,151,644.62","$ 7,024,281.63"
17,"$ 3,718,469.01","$ 167,021.23","$ 17,537.23","$ 3,885,490.24","$ 563,563.87","$ 581,101.10","$ 396,542.64","$ 4,853,999.89","$ 3,321,926.36","$581,101.10",,17,"$ 6,017,789.02","$ 270,299.02","$ 28,381.40","$ 6,288,088.04","$ 462,290.42","$ 490,671.82","$ 191,991.40","$ 2,350,128.63","$ 5,825,797.62",,17,"$ 7,024,281.63","$ 315,507.32","$ 33,128.27","$ 7,339,788.95","$ 417,959.49","$ 451,087.76","$ 102,452.18","$ 1,254,096.79","$ 6,921,829.46"
18,"$ 3,321,926.36","$ 149,209.86","$ 15,667.04","$ 3,471,136.22","$ 563,563.87","$ 579,230.91","$ 414,354.02","$ 5,268,353.90","$ 2,907,572.35","$579,230.91",,18,"$ 5,825,797.62","$ 261,675.41","$ 27,475.92","$ 6,087,473.03","$ 462,290.42","$ 489,766.34","$ 200,615.01","$ 2,550,743.64","$ 5,625,182.61",,18,"$ 6,921,829.46","$ 310,905.51","$ 32,645.08","$ 7,232,734.96","$ 417,959.49","$ 450,604.57","$ 107,053.99","$ 1,361,150.78","$ 6,814,775.47"
19,"$ 2,907,572.35","$ 130,598.46","$ 13,712.84","$ 3,038,170.81","$ 563,563.87","$ 577,276.71","$ 432,965.42","$ 5,701,319.32","$ 2,474,606.93","$577,276.71",,19,"$ 5,625,182.61","$ 252,664.45","$ 26,529.77","$ 5,877,847.07","$ 462,290.42","$ 488,820.19","$ 209,625.97","$ 2,760,369.60","$ 5,415,556.65",,19,"$ 6,814,775.47","$ 306,097.00","$ 32,140.18","$ 7,120,872.47","$ 417,959.49","$ 450,099.68","$ 111,862.50","$ 1,473,013.28","$ 6,702,912.97"
